date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:08	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2006:11:28%20GMT	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1&time=1561857099	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-includes/js/jquery/jquery-migrate.min667c.js	(from http://7bt.504.myftpupload.com/)
21:40:08	5360/5360	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2002%20Apr%202019%2014:31:56%20GMT	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/plugins/cookie-notice/js/front.min.js?ver=1.2.46&time=1561857099	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/plugins/cookie-notice/js/front.min05f2.js	(from http://7bt.504.myftpupload.com/)
21:40:08	6374/6374	---M--	200	added ('OK')	image/png	etag:%2218e6-585a20e242800%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/uploads/2019/04/Favicon-150x150.png	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/uploads/2019/04/Favicon-150x150.png	(from http://7bt.504.myftpupload.com/)
21:40:09	11228/11228	---M--	200	added ('OK')	image/png	etag:%222bdc-585a20de71f00%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/uploads/2019/04/Favicon.png?time=1561857099	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/uploads/2019/04/Favicon4196.png	(from http://7bt.504.myftpupload.com/)
21:40:09	24262/24262	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Jul%202020%2001:00:23%20GMT	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/cache/et/10/et-core-unified-15937380220804.min.css	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/cache/et/10/et-core-unified-15937380220804.min.css	(from http://7bt.504.myftpupload.com/)
21:40:09	9397/9397	---M--	200	added ('OK')	image/png	etag:%2224b5-585a20ebcbe80%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/uploads/2019/04/Opses-logo-High.png	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/uploads/2019/04/Opses-logo-High.png	(from http://7bt.504.myftpupload.com/)
21:40:09	5640/5640	---M-Z	200	added ('OK')	application/javascript	etag:%221608-586053a805280-gzip%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/plugins/divi-flip-cards/scripts/tilt.jquery.min.js?ver=1&time=1561857099	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/plugins/divi-flip-cards/scripts/tilt.jquery.min9744.js	(from http://7bt.504.myftpupload.com/)
21:40:09	13094/13094	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2012%20Apr%202019%2009:04:05%20GMT	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/plugins/divi-icons/assets/js/b3-ie7_free.js?ver=1.0.0&time=1561857099	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/plugins/divi-icons/assets/js/b3-ie7_freefaca.js	(from http://7bt.504.myftpupload.com/)
21:40:10	11090/11090	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2012%20Apr%202019%2009:04:05%20GMT	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/plugins/divi-icons/assets/js/b3icons_free.js?ver=1.0.0&time=1561857099	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/plugins/divi-icons/assets/js/b3icons_freefaca.js	(from http://7bt.504.myftpupload.com/)
21:40:10	265791/265791	---M-Z	200	added ('OK')	application/javascript	etag:%2240e3f-58886e24940c0-gzip%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/js/custom.min.js?ver=3.22.7&time=1561857099	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/js/custom.min2298.js	(from http://7bt.504.myftpupload.com/)
